2026-07-02 19:57:50 | INFO     | __main__ | Symbol   : BTCUSD
2026-07-02 19:57:50 | INFO     | __main__ | Strategy : Bollinger Bands(period=20, std=1.2, trail_activation_pct=0.4, trail_pct=0.3, stop_loss_pct=0.3, take_profit_pct=0.6, tp_extension_pct=0.2, volume_period=20, volume_multiplier=1.0)(period=20, std=1.2, trail_activation_pct=0.4, trail_pct=0.3, stop_loss_pct=0.3, take_profit_pct=0.6, tp_extension_pct=0.2, volume_period=20, volume_multiplier=1.0)
2026-07-02 19:57:50 | INFO     | __main__ | Params   : {'period': 20, 'std': 1.2, 'stop_loss_pct': 0.3, 'take_profit_pct': 0.6, 'trail_activation_pct': 0.4, 'trail_pct': 0.3, 'tp_extension_pct': 0.2, 'volume_period': 20, 'volume_multiplier': 1.0}
2026-07-02 19:57:50 | INFO     | __main__ | Poll     : 10s
2026-07-02 19:57:50 | INFO     | __main__ | Timeframe: 5m
2026-07-02 19:57:50 | INFO     | __main__ | =======================================================
2026-07-02 19:57:50 | INFO     | __main__ |   Strategy Bot Starting: Bollinger Bands(period=20, std=1.2, trail_activation_pct=0.4, trail_pct=0.3, stop_loss_pct=0.3, take_profit_pct=0.6, tp_extension_pct=0.2, volume_period=20, volume_multiplier=1.0)(period=20, std=1.2, trail_activation_pct=0.4, trail_pct=0.3, stop_loss_pct=0.3, take_profit_pct=0.6, tp_extension_pct=0.2, volume_period=20, volume_multiplier=1.0)
2026-07-02 19:57:50 | INFO     | __main__ |   Symbol       : BTCUSD
2026-07-02 19:57:50 | INFO     | __main__ |   Poll Interval: 10s
2026-07-02 19:57:50 | INFO     | __main__ |   Timeframe    : 5m
2026-07-02 19:57:50 | INFO     | __main__ | =======================================================
2026-07-02 19:57:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:57:51 | INFO     | __main__ | [BTCUSD] No signal. Waiting for next candle.
2026-07-02 19:57:51 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 19:58:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:01 | DEBUG    | __main__ | Sleeping for 9.6s
2026-07-02 19:58:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:58:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:21 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:58:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:31 | DEBUG    | __main__ | Sleeping for 9.2s
2026-07-02 19:58:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:41 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:58:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:58:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:58:51 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:59:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:59:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:01 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:59:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:59:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:11 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 19:59:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:59:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:21 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:59:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:59:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:31 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 19:59:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:10:00+00:00 to 2026-07-02 14:25:00+00:00
2026-07-02 19:59:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:20:00+00:00). Skipping evaluation.
2026-07-02 19:59:41 | DEBUG    | __main__ | Sleeping for 9.4s
